,  0.14,  0.17,  0.02
,  0.03,  0.10,  0.00
,  0.00,  0.21,  0.00
,  0.00,  0.29,  0.00
,  0.00,  0.22,  0.00
,  0.00,  0.18,  0.00
,  0.00,  0.14,  0.00
,  0.01,  0.10,  0.00
,  0.00,  0.08,  0.00
,  0.00,  0.22,  0.00
,  0.00,  0.10,  0.00
,  0.00,  0.12,  0.00
,  0.00,  0.18,  0.00
,  0.00,  0.24,  0.00
,  0.26,  0.24,  0.06
,  0.00,  0.22,  0.00
,  0.02,  0.12,  0.00
,  0.00,  0.15,  0.00
,  0.00,  0.15,  0.00
,  0.00,  0.11,  0.00
,  0.00,  0.13,  0.00
,  0.05,  0.22,  0.01
,  0.00,  0.11,  0.00
,  0.09,  0.07,  0.01
,  0.00,  0.15,  0.00
,  0.39,  0.10,  0.04
,  0.30,  0.11,  0.03
,  0.00,  0.14,  0.00
,  0.05,  0.21,  0.01
,  0.01,  0.09,  0.00
,  0.00,  0.11,  0.00
,  0.05,  0.16,  0.01
,  0.18,  0.12,  0.02
