,  1.68,  0.11,  0.19
,  1.16,  0.19,  0.22
,  1.34,  0.10,  0.13
,  1.60,  0.16,  0.26
,  1.08,  0.11,  0.12
,  1.28,  0.10,  0.13
,  1.44,  0.26,  0.37
,  1.57,  0.14,  0.21
,  1.48,  0.13,  0.20
,  1.38,  0.12,  0.17
,  1.42,  0.11,  0.16
,  1.45,  0.16,  0.24
,  1.28,  0.22,  0.29
,  1.43,  0.11,  0.16
,  1.33,  0.10,  0.14
,  1.47,  0.18,  0.26
,  1.54,  0.29,  0.44
,  1.22,  0.10,  0.13
,  1.44,  0.09,  0.13
,  1.61,  0.20,  0.32
,  1.51,  0.16,  0.24
,  1.34,  0.16,  0.22
,  1.50,  0.15,  0.22
,  0.54,  0.17,  0.09
,  1.20,  0.14,  0.17
,  1.47,  0.28,  0.41
,  1.60,  0.18,  0.29
,  1.46,  0.13,  0.19
,  1.43,  0.30,  0.43
,  0.82,  0.23,  0.19
,  1.60,  0.15,  0.24
,  1.53,  0.18,  0.27
,  1.49,  0.11,  0.16
