,  3.40,  127.02,  431.96
,  1.85,  14.43,  26.72
,  3.00,  72.95,  218.75
,  2.20,  19.95,  43.96
,  3.13,  85.85,  268.63
,  3.33,  114.04,  379.35
,  3.19,  99.31,  316.53
,  2.47,  32.40,  80.14
,  2.03,  63.14,  127.99
,  2.45,  16.96,  41.58
,  1.99,  42.03,  83.71
,  1.86,  33.21,  61.67
,  2.38,  36.12,  85.87
,  2.11,  80.35,  169.39
,  3.21,  94.48,  303.08
,  3.12,  88.37,  276.16
,  2.08,  72.34,  150.57
,  3.22,  97.26,  313.33
,  1.62,  49.01,  79.28
,  3.37,  131.09,  441.85
,  3.23,  116.22,  375.04
,  3.19,  100.41,  320.27
,  1.40,  27.61,  38.75
,  3.28,  111.51,  366.13
,  1.93,  35.28,  68.17
,  1.97,  46.78,  92.03
,  3.01,  69.94,  210.39
,  2.90,  96.14,  279.24
,  1.78,  58.93,  105.15
,  3.04,  92.56,  281.66
,  3.19,  92.65,  295.54
,  3.37,  126.88,  427.27
,  2.15,  67.00,  144.08
