,  2.97,  71.36,  211.85
,  2.23,  74.71,  166.29
,  3.23,  101.09,  326.88
,  3.52,  153.50,  539.92
,  3.51,  165.42,  581.32
,  3.33,  121.19,  403.56
,  3.35,  123.74,  414.16
,  3.11,  88.24,  274.64
,  3.45,  145.25,  501.55
,  3.37,  129.58,  436.31
,  3.37,  131.01,  442.05
,  3.18,  99.84,  317.81
,  3.42,  173.21,  592.62
,  3.18,  85.23,  271.18
,  3.53,  158.36,  559.24
,  3.47,  148.78,  516.82
,  3.16,  93.92,  296.92
,  3.32,  124.96,  415.00
,  2.48,  44.39,  110.28
,  3.34,  125.17,  417.59
,  2.21,  81.71,  180.73
,  2.81,  123.34,  346.11
,  1.99,  63.02,  125.42
,  3.20,  154.02,  492.98
,  2.53,  30.47,  77.22
,  2.48,  48.45,  120.36
,  3.33,  153.68,  512.15
,  3.60,  171.35,  616.62
,  3.33,  122.66,  407.94
,  3.08,  86.46,  266.28
,  3.60,  173.63,  625.25
,  3.13,  126.68,  396.84
,  3.25,  158.06,  513.61
