,  0.11,  0.17,  0.02
,  0.33,  0.15,  0.05
,  0.24,  0.14,  0.03
,  0.00,  0.17,  0.00
,  0.00,  0.12,  0.00
,  0.23,  0.11,  0.03
,  0.00,  0.08,  0.00
,  0.00,  0.10,  0.00
,  0.00,  0.06,  0.00
,  0.18,  0.15,  0.03
,  0.38,  0.21,  0.08
,  0.37,  0.12,  0.04
,  0.46,  0.17,  0.08
,  0.26,  0.13,  0.03
,  0.33,  0.16,  0.05
,  0.01,  0.13,  0.00
,  0.17,  0.23,  0.04
,  0.18,  0.28,  0.05
,  0.13,  0.18,  0.02
,  0.13,  0.23,  0.03
,  0.15,  0.15,  0.02
,  0.10,  0.13,  0.01
,  0.00,  0.23,  0.00
,  0.14,  0.18,  0.02
,  0.13,  0.12,  0.02
,  0.15,  0.09,  0.01
,  0.10,  0.11,  0.01
,  0.00,  0.15,  0.00
,  0.22,  0.16,  0.04
,  0.00,  0.11,  0.00
,  0.00,  0.14,  0.00
,  0.18,  0.20,  0.04
,  0.01,  0.16,  0.00
,  0.00,  0.31,  0.00
